"Definition","is_misogyny"
"When guys use the gay angle to come under the radar with unsuspecting women. The put on a very effeminate front and even dress and liik like gay men. However their not, it's just a ploy to work their way into women's confidences in order to win women over for sexual conquest.",0
"When one just has everything go right for them, much to the degree of irritation. Can be applied to any situation, such video games, meeting the opposite sex, field of work or education, technology issues, and life in general.\n\nAlso referred to as ""that's fucking bullshit"".",0
"When someone has high cheek bones and a slender face. Nickname given by douchebags who are really ugly and feel the need to shit on others\n\nPeople Who have been called horse face:\r\nParis Hilton, Jessica Simpson, Sam Worthington, other good looking celebs and average joes.",1
"When someone instead of penetrating an already existing hole on a person, chooses to create their own hole using one's penis. A Deeds hole can occur anywhere even intersecting with an already existing orifice.\n\nAlternate spellings include: Deed's hole Deedshole & Deeds-hole",1
"When someone is ""stache-tastic"", they have a great looking mustache or upper lip hair which makes other envious of their mustache. If your mustache makes you look like a porn star or you get more girls with just a mustache as your facial hair of choice, you are stache-tastic!",0
"When someone's hands are damp/clammy due to sweat. It doesn't count if its water or they've just washed their hands.... it has to be gross.\n\nNB: May be offensive to someone with sweat problems.\r\nNB2: Anyone who admits that they have jellyfish hands may use it as a threat.",0
"When something doesn't go your way, and you begin to throw things around, esp. at people. Phenomenon discovered by caddies who realized that rich bratty golfers begin to throw clubs and other equipment at caddies when they play poorly. Very common occurrence at Country Clubs.",0
"When something is deemed to have advertising value by marketing 'big wigs'.\n\nOften used by people who don't have access to a dictionary - or PR types who like to make up their own words, usually by adding 'ability' to the end of a word. Or 'sexual'. See also: [Gastrosexual]",0
"When you mutual [buttsex] with your comrade and when both of you have [skeet]ed in eachother's honey pots, you switch to the [69] position, partake in eachother's genetic matter, and then eat the anvil shaped turd which you created. Named after Twilight_Orange of &Totse fame.",0
"When you see foreign text but your browser does not have that character/font encoding, so instead of seeing Chinese/Sanskrit/Russian characters, all you see are squares.\r\n\r\nTo best handle this situation, just type squares back from your side of the conversation/forum/etc.",0
"When you take a shit, and while still on the can, jerk off. It's best to wait until the shit has left your body before you begin yankin'. This maneuver is a real time-saver. It works best if you can manage to bring a laptop or other source of porn in to the bathroom with you.",0
"When you use the fact that your a working class man or woman to get access to something or avoid something used on other working class people.\r\n\r\nFor example telling a ticket guard that you need to get to work and cant afford a ticket\r\n\r\nnot always used to get to work",0
"When you're done butt-fucking a chick in her ass and you pull out your cock and there just happens to be a little to medium chocolate shit-morsel left on you cock, its called a ""Chocolate Plum"", trust me, its probably not as sweet as it sounds so don't go back for seconds...!",1
"Where two, preferable homosexual and of Hebrew origin, men precede in making contact with each end of his genitalia. After this is achieved you need to quickly ejaculate at the same time, thus resulting in a slight explosion of the shaft(Don't be alarmed for this is natural).",0
"Without sugar coating it, gurpesque simply means shitty. If something is said to be gurpesque, it means that it is either dirty, not-clean, smelly, filthy, and/or a combination of all of these. Gurpesque can also refer to anyone who claims to be computer-literate, but is not.",0
"Yet again, another incarnation of a fag. This guy constantly talks about his ""intelligence"" of which he has none. He is like a broken record, using the same slams in every one of his posts. Unfortunately for him, the shots he uses were already coined by other forum dickheads.",0
"Yokhshnokhi is a girl who experiences a tingling sensation within her crotch area when she is afraid or when she is experiencing a heightened feeling of excitement. This word can also be a verb: to yokhshnokh which means to get intimiate or relatively close to another person.",1
"You hear this phrase often when watching the beijing 2008 Olympic game on TV or on Stage. This Mandarin phrase literally translates into ""Add Oil"" in English, as oppose Ka-Yaow in Cantonese, meaning: Go Go Go. or just simply cheering for anyone or your favorite team of sport.",0
"You've joined the yabolution when you've installed the latest Yabo mobile phone app which turns you into a human radar (and possibly radioactive superhuman).\n\nOther people who join the yabolution are able to find other people with similar interests using their mobile phone.",0
"Ze'ev is the name of an amazing woman, who is startlingly smart, and self-aware. She also has a witty/sarcastic sense of humor, and all mean (and some women) fall under her spell. She can be blunt, but is also very caring and empathetic. If you find a Ze'ev, never let her go.",0
"[Sick fuck] from [Staten Island] who fantasizes about teenage robot sex, in addition to having obsessions with [My Life as a Teenage Robot], [Sonic the Hedgehog], and other childish manga. He also defends [furries].\n\nSomehow he has his own radio show on WSIA from 4pm - 7pm.",0
"[awl] -[sawrt] -[uhv, ov; unstressed uhv or, especially before consonants, uh]-[bohnd] -[uhp]\n\n- The act of boning up in an assortment of ways.\n\n- A surefire way to make sexting awkward\r\n- You penis going up in a hypothetical matter by replacing it with a bone, bone up.",0
"[duhb-seks]\r\n-Verb (dubsex-ing)\r\n1. Having the most inexplicably erotic, mind-blowing, sexual experience ever while listening to dubstep music.\n\n2. Sex that is soo filthy it tends to lead to a drunken stupor or even amnesia while listening to the music genre of dubstep.",0
"[mobbistic] is an [adjective] describing people who are [mobbing] [fascists], [dictators] or similar [scum], according to the party [JSVP] of Basel (Switzerland).\n\nCan also be used as [Adverbial], [Verbal] or [Nominal]:\n\n- [mobbistingly]\r\n- [to mobbist]\r\n- [a mobbist]",0
"[owl] or bÌ¼ho (espaÌ±ol) - Owls are solitary, [nocturnal] birds of prey mostly hunting small mammals, insects, and sometimes fish. They have large eyes and ears, sharp hawk-like beak and claws, can turn their heads 180 degrees, and communicate with a hooting ""who who"" sound.",0
"a BubblePopper refers to someone who stylewise is either [Skate] or [Scene], and is more musically inclined toward artist such as [Hey Monday].\n\nmeant in a postive manner.\r\nBubblePoppers tend to be nice without being niave, and fall nicely between bubblegum pop, and punk.",0
"a [Sepora] is a girl who is overly excited and extremely talkative. Often seen in middle school groups, [Seporas] tend to have a humiliating and loud laugh. She is usually slightly obsessive over certain individual males. A [Sepora] can also be used to describe a good friend.",1
"a [question] to follow [flatulence]; meant to be exclaimed immediately after an an unusually loud or [lengthy fart]. To be used especially when someone is in the immediate vicinity who more than likely heard the [expellation] in question. Exclamation usually ascends in pitch.",0
"a bunch of douche bags who ride around oakville on there ""dirt jumpers"", thinking mountain biking is the best fuckin sport ever even tho there's no mountains around them and they often go to the *skate park* and ride around snaking people not doing tricks besides ""moto whips""",0
"a burnt ass faggot wannabe bro desperate for friends, and smokes weed every chance presented to him. when asked, he will not admit to being burnt, then go home and smoke weed to feel better about himself. wears stupid ass sunglasses and the same jeans and dvs slips every day.",0
"a car made by pontiac with the sole purpose of high expectations and low turnout. features include but are not limited to: broken ac, blown head gaskets, shitty paint, hole ridden carpets, falling headliners, turning signals that cut off the engine, and turn activated horns. ",0
"a character from the hit online web series ""Write That Shit Down"", portrayed by Robert McCormack. The Laptop Mizer dresses in wildly inappropriate clothing, steals people's laptops, downloads the most horrible pornography imaginable onto it, and then masturbates all over it. ",0
"a cocktail made of Motts Clamato juice and vodka, with tabasco, worchestershire sauce, and salt and pepper to taste. The glass is rimmed with celery salt and a lime and celery stick are the most common garnish.  Other garnishes include: hot pepper, pickle, asparagus spear\r\n",0
"a combination of body odor and hot pockets, usually encounted when entering a gaming store, a [Magic] tournament, or [D&D]. \r\n\r\nGenerally encountered with people who spend more time in fantasy worlds than in the shower.  [Geeks], [Nerds], [Dweebs] often have gamer stink. ",0
"a descriptive word that means awesome, toothsome, amazing, and totally bad apple. when referring to something as storage, be sure not to create a situation where the listener thinks that something is being described as a vessel. one should never refer to a woman as ""storage"".",0
"a dumb blonde who likes to use phrases such as ""duhhh"" and ""i don't get it.""\r\nshe never has any clue whats going on and loves Mr. Onsrud (who doesnt have long hair) she also likes to say very random things during classes like ""why is the sky blue?"" and just basically stupid",1
"a face sometimes made in [myspace] pictures. to make this face a person puckers up their lips and raises ther eyebrows. at times a hand might be placed over their mouth, turning said fishyface into a [shockedfishy]. the typical [myspacewhore] has atleast one of these pictures",0
"a funky fresh individul who has got it goinngg ONNNN.\n\nshe's amazing, talented, smart, and SUPPPPERR SEXYY.\n\nshe can be a straight up g, yo.(:\n\nshe's pretty flyyyy but totally down to earth\n\nanyone who meets her loves her incredilby.\n\nsheilly is pretty much the sex.",0
"a girl who LOVES sugar and chocolate. she is classified as crazy in my book but you gotta love that about her. she is spontaneous and a movieaholic! great sense of style that is unique. oh and she can't live without a hamburger and cheeseballs! can't live without this girl!!!",0
"a gorgeous young lady, with medium brown hair, and bright green eyes. and an award winning smile. she's a heart breaker, she makes all the boys fall in love with her. she's athletic and has a bangin' body. and everybody wants to be her. she also has an amazing british accent.",0
"a group of 11 girls who party with frenchfries have unforgettable memories, kickass times, hardcore pregames, and the best friends in the world\n\nlikes: frenchfries, pingpong tables, nicknames, hey arnold, friday night football games, partys, raving ect\n\ndislikes: haters(;",0
"a guy who gets completely wasted, passes out on the couch with his shoes on, and wakes up in the morning without realizing that he peed himself.  UNTIL someone else sits on the couch and realizes its wet.  They lift up the cushion and find the biggest wet spot known to man.  ",0
"a guy who is made fun of for being himself for a good chunk of his life and is put down by the majority of guys who think they're ""cool"" until the he gets the hottest girlfriend and makes hella money while the ""cool guys"" still live with their parents and eat microwaved pizza",0
"a male with an extreme level of intelligence and sex appeal. Quintin's are typically loved by many people due to their caring nature. Quintin's are great listeners and love to help in any way possible. They usually go on to be very successful and well endowed music producers.",0
"a name given to white or wanna be italians. individuals who try and act Italian so that they may blend in, however, this does not fool the true Italians and they are rejected from the clan and called mangia cakes meaning eating cake ( because they are overweight white people)",0
"a person who dresses as if they are a walking mannequin for Abercrombie & Fitch. Known as mostly white males, who travel in packs of 3 or more, who act all cool, talk about girls loudly while walking through the mall, and act more masculine than what they really are. \r\n\r\n",0
"a person who is, a) inbred b)missing some sort of body part or c) ruins all family photos. this person can be found rooting around in any dumpster or landfill.the only job a fuckup like this can get is either a sideshow freak or sweeping up in the local Mcdonalds parking lot.",0
"a person who lives in canada, dont talk gangster\r\nwe do say eh on occasion, but hey at least we dont have southern accents eh? can take a joke.  and only the male gender have penis's. somthing new to you yanks.\r\noh and by the way americans have french speaking states too.",0
"a person who thinks they are sooo sick, and will tell outragous stories that didn't happen. A Rush will also be spotted grabbing pine at hockey and baseball games (duster/grocerystick), and is natorious for mooching food off people. Do not expect acts of kindness from a Rush.",0
"a person who you have tremendous amounts of love for, and if done in the correct comedic manner, they are made known by repeated smacking of the head, and continued efforts of name calling, by the name of 'loverdome'. one can achieve great intimate bonding with another lover.",0
"a person, living in MA. she's not very hott, but very bangable, aparently... she is self doubting, but she loves the [cock]. she enjoys drinking [beer] and hard liquor (<~sp?) she also enjoys watching [porn] or [porno] and only the people who know her the best call her eeebee",1
"a peson with brown eyes and blonde hair...this isnt very common and is usually pretty attractive. another opposite that i like on guys is blue eyes with dark brown hair...both are really really attractive and pretty rare. and girls that are opposites are usually really pretty",0
"a place that acknowledges women's right to control their own bodies and lives and give unbiased information unlike the [pro-life] who promotes ineffective [abstinence-only] education, puts women's health in jeopardy, spreads lies, and secretly hates independent, working women",0
"a pratically incurable disease which is compleate hell for those who suffer, hell for those who dont understand and an eventual hell for those who think this is all fun and games. ANOREXIA.. the disease i will adventually die from b/c after 3 attempted recoveries... i give up",0
"a pretty girl, but doesnt think she is and puts herself down way to much\r\nthe guy who gets her is the luckiest on earth and im glad that she will be happy with him\n\nkind, caring, but can make mistakes, but it all turns out well in the end\n\nnot to be confsed with [ellie]",0
"a scummy place in Wales, near Ebbw Vale and Merthyr. most people here do drugs and get smashed every weekend. They are given the nickname "" rhymney ruffian"" which means that theyre all junkies who set peoples houses on fire.\r\n\r\nbut i live in rhymney and its pretty cool :]",0
"a sexual saying.\r\nmeaning.. a guy will be hitting a womans vaginal left wall, then take it up.. knock the bottom out.. then bring it to the right wall.. then bring it back across to the left wall. technically making the shape of a triangle.. hitting all of her major points.",1
"a slang term for the use of marijuannah, aka:weed, pot.  Reffered to as ""watching DVDs"". This code was made up in the early millenium and is used around school grounds or at home to avoid parents or authority figures aka: police, teachers. to know what they are talking about.",0
"a style of music, if not life, quite popular in williamsburg, brooklyn.  it is characterized by going to expensive liberal arts colleges (eg Wesleyan) and then starting an eccentric band in nyc.  \r\n\r\nperhaps it was founded by the strokes, or sean lennon.  who can say now?",0
"a term used by farmers who get depressed after taking too many e's at the weekend...grim refering to the mood and overall happiness and dale because they are farmers and spend all day in the dales...ull here this in slang used mostly in yorkshire...bunch of up norf inbreds...",0
"a turkey bomb is a portion of turkey meat put into a fully sealed jar filled with milk. assuming the mixture does not freeze, the two ingredients have a chemical reaction and will eventually explode.  this is not a very powerful explosion but broken glass is always dangerous.",0
"a type of girl who is popular and usually self centered. When you think about them you get a sinking feeling in the pit of your stomach because you are jealous of their car and social status but you don't want to be them. Often self-degraded and stupid, can be sexually jaded.",1
"a very dedicated person who works their ass off to capture the school year in 300 pages. someone who should be respected bc he or she can and will put bad pictures of you in the yearbook if you give him or her any shit about last years yearbook or if he or she just hates you.",0
"a very sexy thang that is the hottest thing alive. :)\r\nLooks sorta tanned and make u wanna lick him till he turns white.\n\nHes cute and nice, talks like a bunny, but damm he so sexy.\r\nHes happy like every day and the best person you have ever met.\r\nALSO VERY ABLICIOUS.",0
"a very stupid dad; one who get played out by his own son mainly a fob; a dad that goes stupid from hearing too much suteki da ne; a mentally ill person that has a gambling problem and still owes me money; a dad that broke his son's PS one and made his son snap it back(ghetto)",0
"a very tubby jar\r\ntype of girl/ boy (most likey a girl) who always gets involved in peoples business. \r\nTubajar is probably common however there is only one in our school. \r\nshe will end up taking poppers (bum hole expander) as she will need to expand her bum hole \r\n ",1
"a very very smart but talented child\r\nis worthy of loving you and is hot ,sexy ,cute ,funny,cool\r\nskuxx ,he will protect you, fight for you and love you forever.\n\nthe brain of albert einstein\r\nthe looks of a model\n\na dick of a pornstar\n\nand the talent of superman.",0
"a wanksta is a person who has the demeanor of a street thug or a gangster but in reality has never preformed such acts as a real gangster whould do, ie. capping someone (shooting) stealing. etc\r\nwanksta a song sung by rapper 50 cent\r\nwanksta = wannabe + gangster\r\nposers",0
"a) doing something very stupid\r\nb) blowing all your money on a particularly poor hand of poker\r\n\r\nNamed after a relatively infamous London gambler, who was a minor Metro celebrity for several weeks and well known for a deluded self belief that he could play poker well. ",0
"a-lis-tar- adjective, noun, verb.\r\n1. A superiority in being irritating to another person\r\n2. To describe an annoying laughåÊåÊ\r\n3. A person who joins in, uninvited, to other's conversationsåÊåÊ\r\n4. A person who is oversensitive when people get their nationality wrong",0
"according to everyone who supports gay marriage, this is what someone who does not support homosexuality. (basically people being hypocrites by bashing someone's belief and saying ""dont shove your beliefs down our throats"" whe really theyre the ones doing what they say not to",0
"adj : overly self-confident or self-assertive; ""a very cocky young man""\r\n\r\nHaving or displaying a sense of overbearing self-worth or self-importance. \r\n\r\nadj : used colloquially of one who is overly conceited or arrogant; ""a snotty little scion of a degenerate family""",0
"adj. A girl or woman who possesses such natural beauty that she does not need any make-up to appear beautiful and looks good in any given situation.\n\nDue to this natural beauty she is capable of pulling off any style or look while looking great.\r\nDerived from Rothycat-hot",0
"adj. neither here nor there, but in a bad way.\r\n\r\nMidolic stems from the popular drug, Midol.  While Midol can induce sleep upon ingestion, thereby making the recipient of the drug ineffectual, not taking Midol on certain days will render the pain-filled woman debiliated.",0
"adj: To sporadically dance with random,beautiful, flowing, sharp, smooth, elegant, wild, wonderful, amazing, hypnotic, fun, hyperactive outbursts. The male Hickingbotham can also have a tendency to make stuff up and go off on a tangent.\r\nCan also be shortened to the Hikky B",0
"after a drunken night of sexual debauchery being promised, and not upheld and then getting locked out of her room going to more condoms. After having to sleep in the hallway untill 7am after she woke up.as revenge, taking a shit in her bathtub and locking the door behind you.",1
"an absolute fucking shit hole in west belfast ireland. the people are scum. a bunch of dole scrounging mother fuckers that has the highest reported drug use and rat infested houses in ireland. they are the crux of hand out begging loyalist trash. even normal prods hate them. ",0
"as in John Hopate an Australian Rugby League of Tongan decent who on several occasions in several games would push his fingers into his opponents anus's to slow them down in the play the ball. went onto become the poster boy for prostate checking in a New Zealand ad campaign.",0
"awesome pop punk band.  Barely pop though.  \r\nMostly known because of all the bands that sprung from this band itself.  Famous for Ben Weasel's attitude to people on stage.  \r\nHas been around for about 15 years, broken up now but still has enough albums to fulfil anybody.",0
"best known for it's use or misuse.\r\n\r\n1.)verbal abuse to shock and awe.\r\npossibly sexual in nature,\r\nbut than again... what word is not.\r\n\r\n2.)used to draw your attention away from an issue at hand to something odd or interesting. aka the news\r\n\r\nsee examples:",0
"braggarts: someone who boasts: a brag, a loud positive appraisal of oneself.\n\nargh: what a pirate says to express annoyance, dismay, embarrassment or frustration.\n\nbraggARGHts!: what a pirate says to express annoyance, dismay, embarrassment or frustration about braggarts.",0
"can refer to Youngstown State University, a state university in [Youngstown], Ohio; or, in slang terminology ""You Screwed Up"", commonly used by residents of Northeast Ohio in reference to someone who attempts to leave the area for college but eventually attends the University",0
"definition: 1. A person who is, used to be, or acts like they are a skaterperson, who thinks that they can get anyone of the other gender. i.e. they are very cocky.\n\n2. Someone who is just annoying.\n\n3. Someone who is excessively raunchy or trashy\n\n(plural: ramproachez)",0
"derived from the word shank, word meaning to hit a golf ball to the side of the course opposite the golfer's stance.\r\nShankopotomus defines a golfer with a propensity for this error. Someone who is a large shanker. Double extra huge shanker. A shanker extraordinaire. Frank.",0
"dirutard is a combination of the name of japanese metal band ""dir en grey"" and the word ""retard"". ""Dirutard"" means a person who appears to know little about the band, or has a conflicting opinion with a another ""diru"" fan. It is an insult that tends to appear on music forums.",0
"fagotree - (adjective) (fag-ot-tree) a word that describes a dire situation.\r\nOriginates from the greek 'fag' meaning gay or crap (has nothing to do with homosexuality) conjoined with the prefix o-tree, meaning 'it is' or 'of', together they become 'it is crap' or 'of gay' ",0
"he is always tall, has dark blue eyes, has medium brown hair,energetic,usually has a last name of a past president,wears old beat up romeos,has a nike blue sweatshirt that he cherishes,a small town guy, likes riding fourwheelers, parents are divorced,not very great in school,",0
"heterosexual: a heterosexual person, or other heterosexual organism.\n\nargh: what a pirate says to express annoyance, dismay, embarrassment or frustration.\n\nhetARGHosexuals!: what a pirate says to express annoyance, dismay, embarrassment or frustration about heterosexuals.",0
"i-pol-o-gist\r\nnoun\n\nderogatory: A person who makes excuses for the flaws and failures of Apple products (usually by way of dismissing or trashing competitors' products) and for the business practices of the Apple corporation.\n\nsyn: Appologist\r\nSee also: iPhag, iPhoney",0
"if you're a man, and you hug another man (man on man situation), you grab them tight by the waist, put your beard in their neck, and tell them ""our balls are touching""...because they are (its like hugging your fucked-up uncle and he gives you a hug and you just feel violated)",0
"in addition:\r\nfemales on message boards and chats usually visited by guys(gaming, skating, heavy metal) who make a big deal of being female. they will post pictures and links to pictures of themselves scantily clad so the guys will tell them how hot they are. and they will.",1
"is a incredibly sexy man, usually not very tall or broad. Has a love for soccer, usually Italian soccer. Is very smart and business like, and a very good boyfriend. May be weird at times, especially in the morning. Tends to like respiratory therapists. Is definately a keeper.",0
"is the most fun latin music style you could ever dance!! its got a two-step beat and your waist is the part of your body that works the most..so if you girls want a sexy waist like a real latina has..go and practice some of the merengue moves..n dont forget the dance partner!",0
"is usually a Philippine female with a smooth face and soft hair, she is usually more into caring about other than her self, she is short and skinny, likes to hangout with friends and doesn't say anything when people talk bad to her but she will soon blow up and say something.",0
"it takes whatever amount or area it succedes and narrows it down to exactly what you are thinking, but are otherwise incapable. *\r\n\r\nor \r\n\r\nused to round in funny ways.\r\n\r\n*note, it only is really usable around friends or people who understand what you mean by it.",0
"kris sadal is an asshole whose son's name is likhit otherwise known as lick-it or lick-shit the kris is a gently and abnormal creature who feeds on demons he can level up by having sex with the feminine this is y he is at level 92 and yeah dats rite likkyy made this so fuk uu",0
"like that broken ass basketball goal your dad set up thinking you'd be the next superstar.\n\nor that last date that ended up being the boss's daughter or the neighborhood (you know what).\n\nanything that looked important enough to investigate that ended up being...\n\nFaded",0
"lily potter,mother to boy wizard harry potter who inherited her green eyes and profected harry from a curse after she sacrified her self for her only child.wife to james potter.\r\nsister to pertunia dursley.\r\n\r\n'i was the only one to see her for what she was....A FREAK!'",0
"maryann is a spontaneous, fun, crazy, beautiful, well liked, sexy, sultry, naughty, girly girl, has her own style, diva, one of a kind, good in bed, nice lips, nasty, direct, talkative, and all around gorgeous. if u get ahold of one, keep her!!! not very many of them around!!",0
"means sneak out for make out. an explosive trend in the quiet town of Orinda, CA. Students at Miramonte High School have been noted to frequently sneak out with the intent of making out. \r\nCommon practice between X lovers, and those who have mastered the art of making out. ",0
"mix of words: [pathetic] and [senior].\r\n1. used to name a senior in highschool who cant get a date.\r\ni.e. a loser, creep, freak.\r\n2. a senior who is a player and has dated all upperclassmen so he hooks up with innocent freshmen.\r\n3. a senior taking a freshmen to prom.",0
"n. - an abbreviation for Secret Masters of Fandom, usually used in the science-fiction community.  It can apply jokingly to the idea there is a secret 'conspiracy' group controlling the masses of a fandom, or it can simply refer to the ""unsung"" types who organize conventions.",0
"n. A boy who is a compulsive lier, and he cant tell the truth to anyone. He stickheads lefty and is a wigger to the core. He is trying to compensate for something by driving in an Escalade, but nobody is fooled.\r\n\r\nv. Hirsching-to tell the most ridiculous lie to somebody.",0
"n. Referring to one with bright orange hair and a bent for alternative sexuality.  Typically disparaging in usage.\r\n\r\n[McDonald's rO-mO, ""Ronald"". Intentionally mispronounced proper name in advertising copy]\r\n\r\nSee also: [word]Dayne[/word], [word]homo del fuego[/word]",0
"n. When people who want to earn an extra buck throw their lameass crap on their front lawn and ask people to buy it for slighty over what they paid it for. These events are usually frequented by [word]old people[/word], [word]soccer moms[/word], and [word]cheapskates[/word]. ",0
"n. \r\n1. Drawn-in eyebrows usually done with a Sharpie Brand Marker to replace shaved-off eyebrows. Usually found on gang girls.\r\n\r\nShar-Origin: 1964, from Sandford Ink ""Sharpie"" Brand Markers\r\n\r\nBrow-Origin: bef. 1000; ME browe, OE brÌÈ; akin to ON brÌÈn, Skt bhrÌÈs",0
"n.:\r\nA style of jump-rope, where two ropes are moved counter to one another. One person stands on each end of the whirling rope-complex, and a third person jumps in the middle of them. \r\n\r\nDouble dutch requires significantly more concentration than standard jump roping.",0
"n: one who displays an utter lack of responsibility for one's own actions regardless of how immoral or incorrect they are as well as displaying an obscene and ultimately useless comprehension of standing moral codes within society as a whole and military society specifically.",0
"name of a dark haired girl with a slim beautiful figure but she doesn't see it cause she hates herself, she's got a beautiful smile and a hilarious laugh, she has a big heart but it's broken, she doesn't take peoples bullshit, she's a fighter not a lover, and... Dat booty doe",0
"noun, sometimes a verb or used to describe something.\r\n1) a sexy man\r\n2) musically talented, usually prefers the guitar.\r\n3) good with the ladies, sometimes chauvinist and vain, yet in a good way\r\n4) a man with a large ""member""\r\n5) an overall amazing person or thing",0
"noun.  One who defines a word on a website (or anywhere else *Especially this one) with nothing but their ignorant I'm-better-than-you opinion.  Mostly uses stereotypical references and (as said) an ignorant I'm-better-than-you attitude.\r\nverb.  To be a Diction-Ass.\r\n\r\n",0
"noun.\r\na person who is able to make someone else happier than they have ever been.\r\nwho makes them smile and laugh and feel happy with their life and who they are.\r\nwho can make every moment that they spend together amazing.\r\n\r\nsomeone to hold on to very tightly\r\n",0
"noun: Any dubstep track that evokes the mental image of slugs bobbing their eye stalks to the music, usually brought about by strange sounds in the song.\n\nNote: Not to be confused with ""slugging""; the act of dancing to slugstep by walking around rhythmically. (Like a slug.)",0
"noun: the art or process of producing images of the cock and balls by the action of radiant energy and especially light on a sensitive surface. Special attention is given to the angle and perspective of the image to maximize the quality and desirability of the cock and balls.",0
"noun: the new disease. Much like chronic [bronchitis] that can take months, even years to go away.\r\n\r\nThe new excuse to not do anything. This is the act of excluding yourself from social activities because you simply just can't afford it. \r\n\r\nsee also: [recessionista]",0
"noun\r\n\r\n1. One who is not brave\r\n2. One who fears many things\r\n3. The most insulting word known to man\r\n\r\nSynonyms:\r\n1. [scaredy-cat]\r\n2. [loser]\r\nAntonyms:\r\n1. [non-coward]\r\n2. [hero]\r\n3. [valiant warrior]\r\n4. [Adventurer]\r\n5. [Voorhees 2nd Floor]",0
"one who comes to the olive garden only for the free salad and bread sticks and complains so much that they stop the order;  when the bill comes for dinner he will wait till theres change and take out more then he put in;  is known to order only water cause of the cost;  cheap",0
"one who has some nice junk in the trunk, a nice caboose. An ass that talks to you from across the street. Hypnotizing.The ass just goes: badonkda-donk, as she walks.  The one lift up is the badonkda...the switch down is the donk....say it as a nice azz walks and you will see.",0
"one who is undoubtedly homosexual. everything about screams gay. flamboyant to the extreme. never turns down a cock, prances around like a queer. typical gay guy voice. probabaly dresses prettier then your average girl. its just so much gayness that he is on fire. A loud gay.",0
"perfect in every way he will be the one that you compare everyone to, but they will never even come close to matching his wit, humor, intelligence or sex appeal. he is that one person, you will long for the rest of your life. someone that you will miss more and more each day.",0
"point of sale: in an establishment that sells goods or services, the location at which payment for goods is made.\n\nsail: the power harnessed by a sail or sails, or the use of this power for travel or transport.\n\npoint of sail: the location at which a sail harnesses power.",0
"pronounced as ""man-raj"" the merging of the words man & garage. \r\nA real Man's Garage. Space soley dedicated to the art of being a man. Also likely to be clad in a mixture of tools, entertainment & exercise equipment.\r\nA place for a man to work off his rage when he's po'd!",0
"same thing as fosho meaning for sure...just cooler\r\n     (fah-sho-zee OR foh-sho-zee)\r\n\r\nother ways to say foshozie:\r\n-make the oh and the zee longer... say \r\n   fah-shooooohhhhh-zeeeeeeee OR foh-shoooooh-zeeeeeeee\r\n\r\n-fo-fuckin-shozie!\r\n   foh-fuck-in-sho-zee",0
"sean is the coolest guy ever. he has dark brown eyes that make you never want to stop looking. if he messes up you just have to forgive him. if he hates you, you'll hate yourself. if you end things with him, youll want him back a minute later. you'll never want to let him go.",0
"sexy drug from the south of east indonesia. it screws with your head and makes you think your riding something;) usually like something that jabs up in you. like a saddle on a horse or something. def try it. its not that expensive becuase of the poor economy in east indonesia",0
"slang for ""free"", referring to someone who is easily beaten at something, usually pertaining to a fighting game, such as Street Fighter or Marvel vs. Capcom. Frequently used at fighting game competitions such as Wednesday Night Fights, or larger tournaments such as Evolution.",0
"sloth of the world\r\nknown to be asleep 23 hours and 59 minutes each day\r\nbirth of place unknown\r\nGod of masturbatin\r\nhas a power to pulll any woman that crosses his small mind\r\nsome say his penis is made out of solid brass\r\nlength of penis ""we need a bigger ruler""",0
"some really sweet poon tang that you really want to shove your wang dang in\n\nTom- I saw michelle last night she looked so good!\r\nConnor - did you shove your wang dang in her poon tang?\r\nTom- nahh didn't have the penis to sniff gooch nugget sniff?!?! :D\n\n- Tom & Connor",0
"someone who has been mostly very kind to people and hasnt been given the fairest chances. is very caring, sweet, and notices all the good things in people.makes people feel comofortable and free to be themselves. is loved by everyone but maybe not always for the ways wanted. ",0
"someone who if you dye [blue] will look like a [smurf].\r\nhorrible [fake] trans who ruins a perfectly fine tv [show].\r\nthe only people who like her are 40 year old men who live in a one bedroom appartment with 30 cats....\r\nan obnoxious cow mostly used as a [punching] bag",0
"someone who thinks they are a hard core gangsta but is actually the proverbial 'runt of the litter'\r\nincapable of living in real situations, even their own family deny they exist causing them to write insulting definitions of groups of people they are jealous/frightened of.",0
"something you say out loud to that 12 year old girl who looks like she'd willingly have sex with anything that breathes.  often referring to that girl who spends all her time on the internet taking slutty pictures of herself and posting them up on her myspace and/or facebook.",1
"the act of an uncircumcised male touching the tip of his cock to the tip of a  second male's circumcised cock, thus causing the excess foreskin of his shlong to wrap around the head of the circumcised male's purple headed yogurt slinger. basically the gayest shit imaginable! ",0
"the act of excessive consumption of alocholic beverage which fuels the primitive barbaric wild side of any human being. usually loaded people result in the following - stumbling around , say stupid things, and likes to go streaking, do animal calls, and chase the opposite sex",0
"the act of having sex doggie-style & pulling out (seemingly accidentally) @ which point you allow another male to take over, unknown to the recipient. At this point the first male sneaks out & reappears to the recipient, preferably by waving through a window from the outside.",0
"the american term for football. why the yanks call it `soccer`, who knows? 10 players on each team try and score in the opponent`s goal, defended by the goal keeper, who is the only player allowed to pick up the ball. the other ten must use their feet. thus the name football.",0
